id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,eligibility,timestamp
3,Male,Yes,1,Graduate,No,5000.0,2000.0,150.0,360.0,1.0,Urban,Eligible,2024-12-09 10:50:11.899836
4,Female,No,0,Not Graduate,Yes,5000.0,2000.0,150.0,240.0,1.0,Rural,Eligible,2024-12-10 14:00:34.192934
5,0,1,2,0,0,5000.0,1500.0,120.0,360.0,1.0,0,Eligible,2024-12-10 14:04:55.999507
6,Male,Yes,2,Graduate,No,5000.0,1500.0,120.0,360.0,1.0,Urban,Pending,2024-12-10 14:16:30.771872
7,Female,No,0,Not Graduate,Yes,6000.0,2000.0,150.0,360.0,1.0,Semiurban,Pending,2024-12-10 14:24:52.755378
8,1,0,0,1,1,6000.0,2000.0,150.0,360.0,1.0,1,Eligible,2024-12-10 14:25:19.923900
10,1,0,0,1,1,5000.0,1000.0,150.0,360.0,1.0,1,Eligible,2024-12-10 15:17:42.637409
11,Male,Yes,1,Graduate,No,5000.0,2000.0,150.0,360.0,1.0,Urban,Pending,2024-12-10 16:22:14.712361
12,Male,Yes,1,Graduate,No,5000.0,2000.0,150.0,360.0,1.0,Urban,Pending,2024-12-10 16:22:38.057377
13,Male,Yes,1,Graduate,No,5000.0,2000.0,150.0,360.0,1.0,Urban,Pending,2024-12-10 16:22:41.032696
14,Male,Yes,1,Graduate,No,5000.0,2000.0,150.0,360.0,1.0,Urban,Pending,2024-12-10 16:25:42.011776
17,male,yes,2,graduate,yes,15000.0,5000.0,2000.0,150.0,1.0,urban,Pending,2024-12-10 22:22:08.616274
18,male,yes,2,graduate,yes,50000.0,20000.0,5000.0,180.0,1.0,semiurban,Pending,2024-12-16 13:35:18.791460
